H100 : 
roadNet-CA,3-64,44.9788
roadNet-PA,3-64,25.0797
roadNet-TX,3-64,31.9052
com-DBLP,3-64,8.1347
amazon,3-64,20.7634
amazon0505,3-64,14.2398
dd,3-64,7.6697
ell,3-64,3.9327
comamazon,3-64,8.1161
yeast,3-64,38.0614
DGraphFin,3-64,81.9993
roadNet-CA,3-128,61.7746
roadNet-PA,3-128,34.3956
roadNet-TX,3-128,43.6053
com-DBLP,3-128,12.733
amazon,3-128,35.6019
amazon0505,3-128,23.2364
dd,3-128,11.6009
ell,3-128,5.5986
comamazon,3-128,12.5494
yeast,3-128,51.6065
DGraphFin,3-128,111.3251
roadNet-CA,3-256,98.106
roadNet-PA,3-256,54.3505
roadNet-TX,3-256,68.9925
com-DBLP,3-256,22.1105
amazon,3-256,77.9884
amazon0505,3-256,41.4975
dd,3-256,19.5681
ell,3-256,8.9739
comamazon,3-256,21.5493
yeast,3-256,81.2582
DGraphFin,3-256,190.1844
roadNet-CA,6-64,68.707
roadNet-PA,6-64,38.3281
roadNet-TX,6-64,48.5987
com-DBLP,6-64,14.9333
amazon,6-64,43.4245
amazon0505,6-64,27.8972
dd,6-64,13.5124
ell,6-64,6.4308
comamazon,6-64,14.5916
yeast,6-64,56.9629
roadNet-CA,6-128,109.2658
roadNet-PA,6-128,60.8649
roadNet-TX,6-128,76.9172
com-DBLP,6-128,26.1263
amazon,6-128,80.0344
amazon0505,6-128,50.0912
dd,6-128,22.9757
ell,6-128,10.446
comamazon,6-128,25.3862
yeast,6-128,89.6701
roadNet-CA,6-256,199.4301
roadNet-PA,6-256,110.4996
roadNet-TX,6-256,139.8192
com-DBLP,6-256,49.5942
amazon,6-256,186.0515
amazon0505,6-256,95.7054
dd,6-256,42.8382
ell,6-256,18.9551
comamazon,6-256,47.8314
yeast,6-256,163.239
